imdbId,tmdbId,original_title,genres
114709,862,Toy Story,animation|comedy|family
113497,8844,Jumanji,adventure|fantasy|family
113228,15602,Grumpier Old Men,romance|comedy
114885,31357,Waiting to Exhale,comedy|drama|romance
113041,11862,Father of the Bride Part II,comedy
113277,949,Heat,action|crime|drama|thriller
114319,11860,Sabrina,comedy|romance
112302,45325,Tom and Huck,action|adventure|drama|family
114576,9091,Sudden Death,action|adventure|thriller
113189,710,GoldenEye,adventure|action|thriller
112346,9087,The American President,comedy|drama|romance
112896,12110,Dracula: Dead and Loving It,comedy|horror
112453,21032,Balto,family|animation|adventure
113987,10858,Nixon,history|drama
112760,1408,Cutthroat Island,action|adventure
112641,524,Casino,drama|crime
114388,4584,Sense and Sensibility,drama|romance
113101,5,Four Rooms,crime|comedy
112281,9273,Ace Ventura: When Nature Calls,crime|comedy|adventure
113845,11517,Money Train,action|comedy|crime
113161,8012,Get Shorty,comedy|thriller|crime
112722,1710,Copycat,drama|thriller
112401,9691,Assassins,action|adventure|crime|thriller
114168,12665,Powder,drama|fantasy|science fiction|thriller
113627,451,Leaving Las Vegas,drama|romance
114057,16420,Othello,drama
114011,9263,Now and Then,comedy|drama|family
114117,17015,Persuasion,drama|romance
112682,902,La Cité des Enfants Perdus,fantasy|science fiction|adventure
115012,37557,摇啊摇，摇到外婆桥,drama|crime
112792,9909,Dangerous Minds,drama|crime
114746,63,Twelve Monkeys,science fiction|thriller|mystery
114952,78802,"Guillaumet, les ailes du courage",romance|adventure
112431,9598,Babe,fantasy|drama|comedy|family
112637,47018,Carrington,history|drama|romance
112818,687,Dead Man Walking,drama
112286,139405,Across the Sea of Time,adventure|history|drama|family
113442,33689,It Takes Two,comedy|family|romance
112697,9603,Clueless,comedy|drama|romance
112749,34615,"Cry, the Beloved Country",drama
114279,31174,Richard III,drama|war
112819,11443,Dead Presidents,action|crime|drama|history
114272,35196,Restoration,drama|romance
113855,9312,Mortal Kombat,action|fantasy
114681,577,To Die For,fantasy|drama|comedy|thriller
